key,value,date
Joseph J. Beaman,0,2008
Joseph J. Beaman,0,2009
Joseph J. Beaman,0,2010
Joseph J. Beaman,0,2011
Joseph J. Beaman,0,2012
Joseph J. Beaman,0,2013
Joseph J. Beaman,0,2014
Joseph J. Beaman,0,2015
Sankaran Mahadevan,0,2002
Sankaran Mahadevan,1.0,2003
Sankaran Mahadevan,3.0,2004
Sankaran Mahadevan,0,2005
Sankaran Mahadevan,0,2006
Sankaran Mahadevan,0,2007
Sankaran Mahadevan,0,2008
Sankaran Mahadevan,0,2009
Sankaran Mahadevan,1.0,2010
Sankaran Mahadevan,0,2011
Sankaran Mahadevan,0,2012
Sankaran Mahadevan,0,2013
Sankaran Mahadevan,0,2014
Sankaran Mahadevan,1.0,2015
Joshua D. Summers,0,2002
Joshua D. Summers,2.0,2003
Joshua D. Summers,2.0,2004
Joshua D. Summers,1.0,2005
Joshua D. Summers,3.0,2006
Joshua D. Summers,1.0,2007
Joshua D. Summers,1.0,2008
Joshua D. Summers,2.0,2009
Joshua D. Summers,4.0,2010
Joshua D. Summers,2.0,2011
Joshua D. Summers,2.0,2012
Joshua D. Summers,2.0,2013
Joshua D. Summers,1.0,2014
Joshua D. Summers,1.0,2015
Kenji Shimada,3.0,2002
Kenji Shimada,1.0,2003
Kenji Shimada,2.0,2004
Kenji Shimada,0,2005
Kenji Shimada,0,2006
Kenji Shimada,0,2007
Kenji Shimada,0,2008
Kenji Shimada,0,2009
Kenji Shimada,0,2010
Kenji Shimada,0,2011
Kenji Shimada,0,2012
Kenji Shimada,0,2013
Kenji Shimada,1.0,2014
Kenji Shimada,0,2015
Janis P. Terpenny,0,2002
Janis P. Terpenny,0,2003
Janis P. Terpenny,2.0,2004
Janis P. Terpenny,0,2005
Janis P. Terpenny,2.0,2006
Janis P. Terpenny,0,2007
Janis P. Terpenny,0,2008
Janis P. Terpenny,0,2009
Janis P. Terpenny,0,2010
Janis P. Terpenny,0,2011
Janis P. Terpenny,0,2012
Janis P. Terpenny,0,2013
Janis P. Terpenny,0,2014
Janis P. Terpenny,0,2015
Lindsay Wilmes,0,2002
Lindsay Wilmes,0,2003
Lindsay Wilmes,1.0,2004
Lindsay Wilmes,0,2005
Lindsay Wilmes,0,2006
Lindsay Wilmes,0,2007
Lindsay Wilmes,0,2008
Lindsay Wilmes,0,2009
Lindsay Wilmes,0,2010
