Scott Ferguson,4.0,2011 
Scott Ferguson,1.0,2012 
Scott Ferguson,3.0,2013 
Scott Ferguson,1.0,2014 
Scott Ferguson,1.0,2015 
Timothy W. Simpson,1.0,2002 
Timothy W. Simpson,6.0,2003 
Timothy W. Simpson,4.0,2004 
Timothy W. Simpson,7.0,2005 
Timothy W. Simpson,9.0,2006 
Timothy W. Simpson,5.0,2007 
Timothy W. Simpson,8.0,2008 
Timothy W. Simpson,4.0,2009 
Timothy W. Simpson,2.0,2010 
Timothy W. Simpson,3.0,2011 
Timothy W. Simpson,2.0,2012 
Timothy W. Simpson,4.0,2013 
Timothy W. Simpson,2.0,2014 
Timothy W. Simpson,4.0,2015 
Vijitashwa Pandey,2.0,2011 
Vijitashwa Pandey,3.0,2012 
Vijitashwa Pandey,3.0,2013 
Vijitashwa Pandey,4.0,2014 
Vijitashwa Pandey,1.0,2015 
W. Ross Morrow,2.0,2012 
W. Ross Morrow,1.0,2013 
W. Ross Morrow,1.0,2014 
Wei Chen,3.0,2002 
Wei Chen,3.0,2003 
Wei Chen,3.0,2004 
Wei Chen,2.0,2005 
Wei Chen,3.0,2006 
Wei Chen,4.0,2007 
Wei Chen,3.0,2008 
Wei Chen,8.0,2009 
Wei Chen,3.0,2010 
Wei Chen,4.0,2011 
Wei Chen,3.0,2012 
Wei Chen,3.0,2013 
Wei Chen,2.0,2014 
Wei Chen,2.0,2015 
Xiaoping Du,1.0,2002 
Xiaoping Du,2.0,2003 
Xiaoping Du,1.0,2004 
Xiaoping Du,1.0,2005 
Xiaoping Du,2.0,2006 
Xiaoping Du,1.0,2007 
Xiaoping Du,1.0,2008 
Xiaoping Du,1.0,2010 
Xiaoping Du,2.0,2011 
Xiaoping Du,2.0,2012 
Xiaoping Du,3.0,2013 
Xiaoping Du,1.0,2014 
Xiaoping Du,3.0,2015 
Xin Wang,1.0,2010 
Xin Wang,1.0,2012 
Yi Ren,1.0,2010 
Yi Ren,1.0,2011 
Yi Ren,2.0,2012 
Yi Ren,2.0,2013 
Yi Ren,2.0,2014 
Yi Ren,1.0,2015 
Yoo S. Hong,1.0,2012 
Yoo S. Hong,1.0,2013 
Yoo S. Hong,1.0,2015 
Zhimin Xi,4.0,2007 
Zhimin Xi,2.0,2008 
Zhimin Xi,1.0,2009 
Zhimin Xi,1.0,2010 
Zhimin Xi,1.0,2011 
Zhimin Xi,2.0,2012 
Zhimin Xi,1.0,2013 
Zhimin Xi,1.0,2014 
Zhimin Xi,3.0,2015 
Zissimos P. Mourelatos,3.0,2003 
Zissimos P. Mourelatos,3.0,2004 
